,PA13:NO2,PA13:NO,PA13:NOX,PA13:O3,OBJECTID
,PARIS 13ème,PARIS 13ème,PARIS 13ème,PARIS 13ème,0
,PA13,PA13,PA13,PA13,1
,dioxyde d azote,monoxyde d azote,oxydes d azote,ozone,2
,NO2,NO,NOX,O3,3
,microg/m3,microg/m3,microg/m3,microg/m3,4
2023/01/01 01:00:00+00,8.8,0.7,10,50.7,5
2023/01/01 02:00:00+00,8.7,1,10.3,49,6
2023/01/01 03:00:00+00,9.1,0.8,10.3,48.1,7
2023/01/01 04:00:00+00,8.5,1,10.2,49,8
2023/01/01 05:00:00+00,8.7,0.7,9.8,48.2,9
2023/01/01 06:00:00+00,8.2,0.5,9,50.9,10
2023/01/01 07:00:00+00,8.8,0.8,10.1,50.6,11
2023/01/01 08:00:00+00,9.2,0.9,10.6,52.9,12
2023/01/01 09:00:00+00,8.8,0.4,9.4,51.3,13
2023/01/01 10:00:00+00,11.1,1.1,12.8,50,14
2023/01/01 11:00:00+00,14.7,1.4,16.9,42.5,15
2023/01/01 12:00:00+00,17.8,1.3,19.9,39.8,16
2023/01/01 13:00:00+00,20.9,1.4,23,37,17
2023/01/01 14:00:00+00,22.3,1.1,24,33,18
2023/01/01 15:00:00+00,18.2,1.3,20.2,28.9,19
2023/01/01 16:00:00+00,21.2,1.4,23.5,23.7,20
2023/01/01 17:00:00+00,24.3,1.2,26.2,21.7,21
2023/01/01 18:00:00+00,28.7,2,31.7,17,22
2023/01/01 19:00:00+00,33.4,3.8,39.2,14.4,23
2023/01/01 20:00:00+00,38,4.4,44.8,14.3,24
2023/01/01 21:00:00+00,34.5,2.1,37.6,23.8,25
2023/01/01 22:00:00+00,25.5,1.1,27.2,35.8,26
2023/01/01 23:00:00+00,18.1,1.1,19.7,41.5,27
2023/01/02 00:00:00+00,11.4,0.9,12.8,51.1,28
2023/01/02 01:00:00+00,5.8,0.8,6.9,57,29
2023/01/02 02:00:00+00,5.1,0.7,6.2,57.5,30
2023/01/02 03:00:00+00,5.5,0.4,6,55.7,31
2023/01/02 04:00:00+00,6.7,0.1,6.7,58.1,32
2023/01/02 05:00:00+00,8.4,0.5,9.1,61.7,33
2023/01/02 06:00:00+00,16,0.6,17,54.7,34
2023/01/02 07:00:00+00,23,1.1,24.7,46.8,35
2023/01/02 08:00:00+00,32.3,1.6,34.9,39.3,36
2023/01/02 09:00:00+00,35.4,2.4,39.2,39.1,37
2023/01/02 10:00:00+00,24,1.9,26.9,48.9,38
2023/01/02 11:00:00+00,23.6,1.7,26.3,46.3,39
2023/01/02 12:00:00+00,21.3,1.8,24.1,48.9,40
2023/01/02 13:00:00+00,14.1,2,17.2,56.7,41
2023/01/02 14:00:00+00,11.4,1.7,14.1,58.9,42
2023/01/02 15:00:00+00,15.1,0.8,16.2,59.4,43
2023/01/02 16:00:00+00,20.1,0.9,21.6,53.9,44
2023/01/02 17:00:00+00,32.3,1.2,34,41.2,45
2023/01/02 18:00:00+00,51.5,3.9,57.4,19.7,46
2023/01/02 19:00:00+00,66.4,14.6,88.7,6,47
2023/01/02 20:00:00+00,63.7,10.7,80.1,6.8,48
2023/01/02 21:00:00+00,66.3,14.2,88.1,5.3,49
2023/01/02 22:00:00+00,63.3,12.6,82.6,5.1,50
2023/01/02 23:00:00+00,54.8,9.7,69.8,8.1,51
2023/01/03 00:00:00+00,52.2,11.7,70.1,3.6,52
2023/01/03 01:00:00+00,33.6,2.5,37.5,18.8,53
2023/01/03 02:00:00+00,23.1,1,24.6,28.3,54
2023/01/03 03:00:00+00,21.1,0.5,21.8,30.4,55
2023/01/03 04:00:00+00,23.2,0.7,24.3,24.1,56
2023/01/03 05:00:00+00,26.6,1.4,28.7,28.1,57
2023/01/03 06:00:00+00,18.9,1.1,20.7,42.5,58
2023/01/03 07:00:00+00,27.9,2.5,31.7,37.3,59
2023/01/03 08:00:00+00,32.4,3.7,38,36.8,60
2023/01/03 09:00:00+00,36.5,4.7,43.8,29.4,61
2023/01/03 10:00:00+00,31.3,4.6,38.3,33.2,62
2023/01/03 11:00:00+00,29.2,5.4,37.5,33.7,63
2023/01/03 12:00:00+00,32.5,6.6,42.5,31.6,64
2023/01/03 13:00:00+00,22.8,4.5,29.6,43.4,65
2023/01/03 14:00:00+00,21.2,2.8,25.6,46.3,66
2023/01/03 15:00:00+00,20,2.3,23.6,49,67
2023/01/03 16:00:00+00,25.1,1.8,27.9,46,68
2023/01/03 17:00:00+00,33,1.2,34.9,36.6,69
2023/01/03 18:00:00+00,30.4,1.2,32.4,35.8,70
2023/01/03 19:00:00+00,28.6,2,31.8,33.8,71
2023/01/03 20:00:00+00,23.3,1.4,25.5,39.4,72
2023/01/03 21:00:00+00,22.2,0.9,23.6,39.8,73
2023/01/03 22:00:00+00,17.5,0.4,18.2,50.2,74
2023/01/03 23:00:00+00,10.1,0.8,11.4,60.8,75
2023/01/04 00:00:00+00,8.3,0.7,9.3,62.1,76
2023/01/04 01:00:00+00,6.3,0.2,6.7,62.3,77
2023/01/04 02:00:00+00,4.9,0.5,5.5,63.3,78
2023/01/04 03:00:00+00,4.5,0.6,5.3,64.2,79
2023/01/04 04:00:00+00,5.5,0.7,6.5,62.9,80
2023/01/04 05:00:00+00,7.6,0.8,8.9,59.9,81
2023/01/04 06:00:00+00,14.3,0.8,15.6,52.2,82
2023/01/04 07:00:00+00,18.8,1.4,21,47.1,83
2023/01/04 08:00:00+00,23.1,2.2,26.5,42.7,84
2023/01/04 09:00:00+00,23.8,2.2,27.1,42.4,85
2023/01/04 10:00:00+00,22,1.8,24.8,43.7,86
2023/01/04 11:00:00+00,17.5,2.1,20.6,48.1,87
2023/01/04 12:00:00+00,15,1.5,17.2,49.6,88
2023/01/04 13:00:00+00,17,1.9,20,45.1,89
2023/01/04 14:00:00+00,18.3,2.3,21.8,43.2,90
2023/01/04 15:00:00+00,22,2.4,25.6,37.7,91
2023/01/04 16:00:00+00,26.4,2.4,30,35.8,92
2023/01/04 17:00:00+00,22.8,1.1,24.6,41.8,93
2023/01/04 18:00:00+00,24.5,1.7,27.2,42.7,94
2023/01/04 19:00:00+00,19.1,1.4,21.2,47.5,95
2023/01/04 20:00:00+00,13.1,0.7,14.2,54.1,96
2023/01/04 21:00:00+00,11.4,1,12.9,55.6,97
2023/01/04 22:00:00+00,9.2,0.7,10.3,56.4,98
2023/01/04 23:00:00+00,8.1,0.4,8.8,56.5,99
2023/01/05 00:00:00+00,6.9,0.6,7.7,57.8,100
2023/01/05 01:00:00+00,6.8,0.3,7.2,57.3,101
2023/01/05 02:00:00+00,7.4,0.5,8.3,55.7,102
2023/01/05 03:00:00+00,7.9,0.6,8.8,53.6,103
2023/01/05 04:00:00+00,9.2,0.2,9.6,57.4,104
2023/01/05 05:00:00+00,11.3,0.9,12.6,55,105
2023/01/05 06:00:00+00,15.7,0.6,16.6,49.7,106
2023/01/05 07:00:00+00,25.3,1,26.9,39.3,107
2023/01/05 08:00:00+00,30.9,0.6,32,32.8,108
2023/01/05 09:00:00+00,48,7.6,59.7,14.6,109
2023/01/05 10:00:00+00,32.3,3.9,38.2,31.8,110
2023/01/05 11:00:00+00,20,2.8,24.2,43,111
2023/01/05 12:00:00+00,18.4,2,21.5,44.2,112
2023/01/05 13:00:00+00,22.3,2.4,26.1,39.6,113
2023/01/05 14:00:00+00,24.7,2.8,29.1,39.9,114
2023/01/05 15:00:00+00,27.4,2.9,31.9,36,115
2023/01/05 16:00:00+00,25.3,1.8,28,44.8,116
2023/01/05 17:00:00+00,19.6,1.1,21.4,51,117
2023/01/05 18:00:00+00,24.8,0.6,25.7,46,118
2023/01/05 19:00:00+00,21,0.8,22.2,52.9,119
2023/01/05 20:00:00+00,21.4,0.9,22.9,54.3,120
2023/01/05 21:00:00+00,19.3,1,20.8,56,121
2023/01/05 22:00:00+00,25.4,1.2,27.3,42.3,122
2023/01/05 23:00:00+00,18.4,0.6,19.4,50,123
2023/01/06 00:00:00+00,14.7,0.8,15.9,51.2,124
2023/01/06 01:00:00+00,12,0.5,12.9,56.4,125
2023/01/06 02:00:00+00,6.9,0.5,7.7,62.4,126
2023/01/06 03:00:00+00,5.4,0.4,6,64.1,127
2023/01/06 04:00:00+00,7.1,0.6,8,60.3,128
2023/01/06 05:00:00+00,9.8,0.1,9.3,56.6,129
2023/01/06 06:00:00+00,16.6,1.4,18.8,49.6,130
2023/01/06 07:00:00+00,26,2.3,29.5,40.5,131
2023/01/06 08:00:00+00,32.7,2.3,36.1,33.5,132
2023/01/06 09:00:00+00,33.9,2.8,38.2,32.6,133
2023/01/06 10:00:00+00,27.5,2.5,31.4,37.5,134
2023/01/06 11:00:00+00,28,2.7,32.2,37.1,135
2023/01/06 12:00:00+00,24.6,2.8,28.9,39.8,136
2023/01/06 13:00:00+00,18.8,2.2,22.3,48.3,137
2023/01/06 14:00:00+00,17.1,1.7,19.7,50.3,138
2023/01/06 15:00:00+00,18.8,1.4,21,49.7,139
2023/01/06 16:00:00+00,18.8,1,20.3,48,140
2023/01/06 17:00:00+00,27,1.3,29.1,38.9,141
2023/01/06 18:00:00+00,29.5,1.4,31.7,37.2,142
2023/01/06 19:00:00+00,27.6,1.7,30.2,38.6,143
2023/01/06 20:00:00+00,25.6,1.5,27.9,38.6,144
2023/01/06 21:00:00+00,31.1,1.2,32.9,29.9,145
2023/01/06 22:00:00+00,24.6,1.2,26.3,34.9,146
2023/01/06 23:00:00+00,18,0.8,19.2,42.6,147
2023/01/07 00:00:00+00,17.1,0.8,18.3,47,148
2023/01/07 01:00:00+00,15,0.7,16.1,51.7,149
2023/01/07 02:00:00+00,12,0.9,13.1,53.4,150
2023/01/07 03:00:00+00,10.3,1,11.7,52.5,151
2023/01/07 04:00:00+00,11,0.5,11.7,55.5,152
2023/01/07 05:00:00+00,11.7,0.2,11.8,54.8,153
2023/01/07 06:00:00+00,11.7,0.6,12.4,47.5,154
2023/01/07 07:00:00+00,18.3,1.1,20,37.1,155
2023/01/07 08:00:00+00,22.9,1.1,24.7,32.9,156
2023/01/07 09:00:00+00,22.2,2.6,26.2,32.6,157
2023/01/07 10:00:00+00,17.3,2.8,21.7,36.7,158
2023/01/07 11:00:00+00,16.5,3.5,21.9,39.6,159
2023/01/07 12:00:00+00,16.2,3.4,21.4,41.3,160
2023/01/07 13:00:00+00,13.5,1.9,16.5,48.2,161
2023/01/07 14:00:00+00,12.3,1.4,14.4,48.8,162
2023/01/07 15:00:00+00,17,1.3,19.1,44.3,163
2023/01/07 16:00:00+00,19.3,1.5,21.6,43.7,164
2023/01/07 17:00:00+00,20,1.3,22.1,42.6,165
2023/01/07 18:00:00+00,19.9,1.8,22.7,45.5,166
2023/01/07 19:00:00+00,20.8,1,22.2,44.9,167
2023/01/07 20:00:00+00,18.5,1.1,20.1,47.2,168
2023/01/07 21:00:00+00,18.3,1.2,20.1,45.4,169
2023/01/07 22:00:00+00,17.1,1.3,19.1,44.6,170
2023/01/07 23:00:00+00,12.1,0.6,13.2,52.5,171
2023/01/08 00:00:00+00,9.5,0.9,11,54,172
2023/01/08 01:00:00+00,8.2,0.6,8.9,55.8,173
2023/01/08 02:00:00+00,7.1,0.4,7.8,57.9,174
2023/01/08 03:00:00+00,5.7,0.5,6.4,63,175
2023/01/08 04:00:00+00,5.7,0.5,6.4,66,176
2023/01/08 05:00:00+00,7.7,0.2,8,65.2,177
2023/01/08 06:00:00+00,8.2,1.1,10,66.2,178
2023/01/08 07:00:00+00,9.2,0.2,9.4,72.3,179
2023/01/08 08:00:00+00,17.9,1,19.5,54,180
2023/01/08 09:00:00+00,18.2,1.5,20.4,54.7,181
2023/01/08 10:00:00+00,15.4,1.6,17.8,59.3,182
2023/01/08 11:00:00+00,13.3,1.6,15.8,64.9,183
2023/01/08 12:00:00+00,12.1,2.1,15.3,67.8,184
2023/01/08 13:00:00+00,13.5,2,16.6,66.3,185
2023/01/08 14:00:00+00,15.9,1.6,18.4,63.7,186
2023/01/08 15:00:00+00,16,1.4,18.2,62.8,187
2023/01/08 16:00:00+00,21.1,1.6,23.6,54.9,188
2023/01/08 17:00:00+00,19.3,1,20.8,56.4,189
2023/01/08 18:00:00+00,18.4,0.8,19.7,57,190
2023/01/08 19:00:00+00,18.5,1,20,60.4,191
2023/01/08 20:00:00+00,17.6,1.2,19.4,60.7,192
2023/01/08 21:00:00+00,12.2,0.4,13,64.6,193
2023/01/08 22:00:00+00,9.3,0.5,10.1,69.1,194
2023/01/08 23:00:00+00,8,0.2,7.8,68.9,195
2023/01/09 00:00:00+00,8.1,0.4,8.6,67.7,196
2023/01/09 01:00:00+00,7.6,0.9,9.1,67.6,197
2023/01/09 02:00:00+00,5.2,0.7,6.2,70.6,198
2023/01/09 03:00:00+00,4.8,0.3,5.3,69.7,199
2023/01/09 04:00:00+00,5.3,0.2,5.1,69.2,200
2023/01/09 05:00:00+00,7.6,0.8,8.8,66.6,201
2023/01/09 06:00:00+00,13.5,1,15,60.5,202
2023/01/09 07:00:00+00,18.7,1.3,20.7,58.1,203
2023/01/09 08:00:00+00,19.9,1.6,22.4,56.8,204
2023/01/09 09:00:00+00,20.1,2,23.1,56.8,205
2023/01/09 10:00:00+00,15.2,1.8,18,61.4,206
2023/01/09 11:00:00+00,13.5,1.9,16.4,63.3,207
2023/01/09 12:00:00+00,11.9,1.7,14.6,64.2,208
2023/01/09 13:00:00+00,13.2,2,16.3,63.7,209
2023/01/09 14:00:00+00,14,1.2,16,62.7,210
2023/01/09 15:00:00+00,18.2,1,19.8,55.6,211
2023/01/09 16:00:00+00,20.9,1.8,23.6,51.3,212
2023/01/09 17:00:00+00,25,1,26.5,48.1,213
2023/01/09 18:00:00+00,18.3,1.7,20.8,61.4,214
2023/01/09 19:00:00+00,22.1,0.7,23.2,51.9,215
2023/01/09 20:00:00+00,30.9,0.5,31.7,42.2,216
2023/01/09 21:00:00+00,21.5,1.1,23.1,52.6,217
2023/01/09 22:00:00+00,15,0.7,16,57.2,218
2023/01/09 23:00:00+00,12.8,0.3,13.2,57.5,219
2023/01/10 00:00:00+00,11.8,1,13.4,57.4,220
2023/01/10 01:00:00+00,9.3,1,10.8,59.3,221
2023/01/10 02:00:00+00,13.7,0.5,14.3,54.6,222
2023/01/10 03:00:00+00,16.1,0.6,17,49.8,223
2023/01/10 04:00:00+00,17,0.7,17.9,46.5,224
2023/01/10 05:00:00+00,18.8,0.6,19.7,42.4,225
2023/01/10 06:00:00+00,29.7,1.6,32.2,30.6,226
2023/01/10 07:00:00+00,56.6,9.2,70.7,7.5,227
2023/01/10 08:00:00+00,53.5,11.3,70.8,8.8,228
2023/01/10 09:00:00+00,50.5,16.5,75.7,8,229
2023/01/10 10:00:00+00,44.3,10.7,60.6,13.7,230
2023/01/10 11:00:00+00,39.1,6.7,49.4,22.6,231
2023/01/10 12:00:00+00,32.7,4.9,40.2,33.4,232
2023/01/10 13:00:00+00,23.3,2.5,27.2,44.5,233
2023/01/10 14:00:00+00,24.5,2.6,28.4,41,234
2023/01/10 15:00:00+00,31.8,4.1,38,31.4,235
2023/01/10 16:00:00+00,30.4,2.6,34.4,32.3,236
2023/01/10 17:00:00+00,33.9,2.7,38,26.2,237
2023/01/10 18:00:00+00,34.1,3.1,38.8,26.7,238
2023/01/10 19:00:00+00,31.7,2.5,35.6,25.4,239
2023/01/10 20:00:00+00,29.3,1.8,32.1,28.5,240
2023/01/10 21:00:00+00,17.6,1.3,19.6,38.6,241
2023/01/10 22:00:00+00,14.4,1,15.8,42.4,242
2023/01/10 23:00:00+00,10.7,0.9,12,46,243
2023/01/11 00:00:00+00,8.7,0.8,9.9,49,244
2023/01/11 01:00:00+00,6.7,1.2,8.6,50.7,245
2023/01/11 02:00:00+00,6,1,7.6,50.9,246
2023/01/11 03:00:00+00,5.2,0.9,6.6,52.1,247
2023/01/11 04:00:00+00,5.6,0.9,7,52.8,248
2023/01/11 05:00:00+00,8.7,1.2,10.5,48.2,249
2023/01/11 06:00:00+00,12.4,0.8,13.7,57.2,250
2023/01/11 07:00:00+00,22,0.7,23.1,51.5,251
2023/01/11 08:00:00+00,38.4,1.3,40.4,37.2,252
2023/01/11 09:00:00+00,33,1.3,35,43,253
2023/01/11 10:00:00+00,22.8,2.3,26.3,52.3,254
2023/01/11 11:00:00+00,22,2.6,26,53.6,255
2023/01/11 12:00:00+00,16.5,2.7,20.6,58.2,256
2023/01/11 13:00:00+00,14.6,2.4,18.2,60.1,257
2023/01/11 14:00:00+00,13,2.5,16.8,62.1,258
2023/01/11 15:00:00+00,15,2.2,18.4,61.3,259
2023/01/11 16:00:00+00,19.2,1.6,21.6,55,260
2023/01/11 17:00:00+00,24.3,1.5,26.7,47.2,261
2023/01/11 18:00:00+00,25.3,1.5,27.7,44.5,262
2023/01/11 19:00:00+00,26,2.3,29.5,44.3,263
2023/01/11 20:00:00+00,17.1,2.2,20.5,53.3,264
2023/01/11 21:00:00+00,12.3,0.9,13.6,59.1,265
2023/01/11 22:00:00+00,9.3,0.6,10.2,61.9,266
2023/01/11 23:00:00+00,9.2,0.6,10.4,60.7,267
2023/01/12 00:00:00+00,9.3,1.1,11,59.6,268
2023/01/12 01:00:00+00,7.1,0.3,7.7,62.5,269
2023/01/12 02:00:00+00,5.7,0.7,6.8,65.1,270
2023/01/12 03:00:00+00,4.9,0.1,5.1,66.4,271
2023/01/12 04:00:00+00,5.4,0.3,5.6,66.2,272
2023/01/12 05:00:00+00,7.5,0.8,8.7,63,273
2023/01/12 06:00:00+00,10.2,1.7,12.8,63.3,274
2023/01/12 07:00:00+00,13.6,1.3,15.6,60.1,275
2023/01/12 08:00:00+00,22.3,2.4,26,49.9,276
2023/01/12 09:00:00+00,21.6,1.8,24.5,54.7,277
2023/01/12 10:00:00+00,19.4,1.7,22.1,52.8,278
2023/01/12 11:00:00+00,22.5,2,25.6,50.5,279
2023/01/12 12:00:00+00,17.9,1.7,20.5,55.2,280
2023/01/12 13:00:00+00,15.4,2.2,18.8,58.1,281
2023/01/12 14:00:00+00,16.3,2.4,20,56.7,282
2023/01/12 15:00:00+00,19.7,2.7,23.8,52.9,283
2023/01/12 16:00:00+00,15.2,1.5,17.6,59.4,284
2023/01/12 17:00:00+00,17.6,1.1,19.2,55.5,285
2023/01/12 18:00:00+00,18.2,1.4,20.3,55.3,286
2023/01/12 19:00:00+00,14.5,1.1,16.3,59.5,287
2023/01/12 20:00:00+00,11.3,0.9,12.7,65,288
2023/01/12 21:00:00+00,8.9,0.9,10.3,67.8,289
2023/01/12 22:00:00+00,8.8,0.7,9.5,67,290
2023/01/12 23:00:00+00,8.1,0.3,8.6,65.5,291
2023/01/13 00:00:00+00,8.8,0.7,9.9,63.2,292
2023/01/13 01:00:00+00,7.4,0.5,8,69.3,293
2023/01/13 02:00:00+00,7.7,0.5,8.3,74.7,294
2023/01/13 03:00:00+00,5.5,0.7,6.5,74.4,295
2023/01/13 04:00:00+00,5.9,0.2,6.2,72.6,296
2023/01/13 05:00:00+00,8,0.1,7.8,70.5,297
2023/01/13 06:00:00+00,12.5,0.8,13.9,65.8,298
2023/01/13 07:00:00+00,19.1,1.1,20.8,58.8,299
2023/01/13 08:00:00+00,27,1.5,29.2,49.4,300
2023/01/13 09:00:00+00,28.1,3,32.7,48.3,301
2023/01/13 10:00:00+00,18.5,2.5,22.3,58.4,302
2023/01/13 11:00:00+00,12.3,1.6,14.7,64.6,303
2023/01/13 12:00:00+00,11.2,1.9,14.1,64.3,304
2023/01/13 13:00:00+00,11.8,1.8,14.5,68.3,305
2023/01/13 14:00:00+00,11.9,1.6,14.4,68.7,306
2023/01/13 15:00:00+00,13.3,0.9,14.8,66.6,307
2023/01/13 16:00:00+00,14.3,0.8,15.6,64.7,308
2023/01/13 17:00:00+00,20,0.8,21.3,57.7,309
2023/01/13 18:00:00+00,24.4,1.1,26.1,52.1,310
2023/01/13 19:00:00+00,29.3,1.2,31.1,47,311
2023/01/13 20:00:00+00,33,1.8,35.8,41.4,312
2023/01/13 21:00:00+00,28.9,1.7,31.5,43.6,313
2023/01/13 22:00:00+00,26.8,1,28.3,41.7,314
2023/01/13 23:00:00+00,24.2,1.7,26.7,44.4,315
2023/01/14 00:00:00+00,20.1,1.3,22,46.5,316
2023/01/14 01:00:00+00,18.5,0.7,19.5,46.4,317
2023/01/14 02:00:00+00,20.6,0.7,21.8,41.8,318
2023/01/14 03:00:00+00,17.1,0.5,18,47.1,319
2023/01/14 04:00:00+00,8.6,0.6,9.6,62.3,320
2023/01/14 05:00:00+00,10,1,11.6,64.6,321
2023/01/14 06:00:00+00,9.5,0.6,10.6,65.5,322
2023/01/14 07:00:00+00,11.5,0.4,12.1,64.5,323
2023/01/14 08:00:00+00,11.3,1,12.9,64.4,324
2023/01/14 09:00:00+00,11.7,1,13.1,61.3,325
